"2014-10-15 15:20:00",1,122,1,10,17.3,28.5,34.29,13.6,0,0,0,0,0,0,0,0,0.5,78.38,0,0
"2014-10-15 15:20:00",1,122,4,10,12.9,18.92,0
"2014-10-15 15:20:00",1,122,23,10,38.93
"2014-10-15 15:20:00",1,122,32,10,NAN
"2014-10-15 15:30:00",1,122,1,10,16.89,11.54,20.57,9.07,0,0,0,0,0,0,0,0,0,80.8,0,0
"2014-10-15 15:30:00",1,122,4,10,12.89,18.74,0
"2014-10-15 15:30:00",1,122,23,10,29.48
"2014-10-15 15:30:00",1,122,32,10,NAN
"2014-10-15 15:40:00",1,122,1,10,16.97,14.93,20.57,9.07,0.5,159.8,0,0,0,0,0,0,1,74.82,0,0
"2014-10-15 15:40:00",1,122,4,10,12.89,18.51,0
"2014-10-15 15:40:00",1,122,23,10,37.06
"2014-10-15 15:40:00",1,122,32,10,NAN
"2014-10-15 15:50:00",1,122,1,10,16.49,10.86,13.72,4.533,0,0,0,0,0,0,0,0,0.464,82.8,0,0
"2014-10-15 15:50:00",1,122,4,10,12.88,18.33,0
"2014-10-15 15:50:00",1,122,23,10,27.71
"2014-10-15 15:50:00",1,122,32,10,NAN
"2014-10-15 16:00:00",1,122,1,10,16.12,7.464,13.72,4.534,0.25,160.2,0,0,0,0,0,0,0.5,81,0,0
"2014-10-15 16:00:00",1,122,4,10,12.87,18.1,0
"2014-10-15 16:00:00",1,122,1,60,81,0,0
"2014-10-15 16:00:00",1,122,4,240,12.87,18.1
"2014-10-15 16:00:00",1,122,22,60,0.218,0.307,0.253,520.1,594.9,550
"2014-10-15 16:00:00",1,122,23,10,27.3
"2014-10-15 16:00:00",1,122,31,60,0,0
"2014-10-15 16:00:00",1,122,32,10,NAN
"2014-10-15 16:10:00",1,122,1,10,16.29,3.393,6.858,0,0.25,159.8,0,0,0,0,0,0,0.5,80.5,0,0
"2014-10-15 16:10:00",1,122,4,10,12.86,17.87,0
"2014-10-15 16:10:00",1,122,23,10,25.26
"2014-10-15 16:10:00",1,122,32,10,NAN
"2014-10-15 16:20:00",1,122,1,10,16.05,2.036,0,0,0,0,0,0,0,0,0,0,0.5,83.9,0,0
"2014-10-15 16:20:00",1,122,4,10,12.86,17.64,0
"2014-10-15 16:20:00",1,122,23,10,18.53
"2014-10-15 16:20:00",1,122,32,10,NAN
"2014-10-15 16:30:00",1,122,1,10,15.34,0.679,0,0,0,0,0,0,0,0,0,0,0.25,87.5,0,0
"2014-10-15 16:30:00",1,122,4,10,12.86,17.41,0
"2014-10-15 16:30:00",1,122,23,10,18.94
"2014-10-15 16:30:00",1,122,32,10,NAN
"2014-10-15 16:40:00",1,122,1,10,15.07,0,0,-4.534,0,0,0,0,0,0,0,0,0.036,89.5,0,0
"2014-10-15 16:40:00",1,122,4,10,12.85,17.14,128
"2014-10-15 16:40:00",1,122,23,10,18.87
"2014-10-15 16:40:00",1,122,32,10,NAN
"2014-10-15 16:50:00",1,122,1,10,14.71,0,0,-4.534,0,0,0,0,0,0,0,0,0.25,89.9,0,0
"2014-10-15 16:50:00",1,122,4,10,12.85,16.91,128
"2014-10-15 16:50:00",1,122,23,10,15.06
"2014-10-15 16:50:00",1,122,32,10,NAN
"2014-10-15 17:00:00",1,122,1,10,14.53,0,0,-4.534,0,0,0,0,0,0,0,0,0.25,91.5,0,0
"2014-10-15 17:00:00",1,122,4,10,12.85,16.66,128
"2014-10-15 17:00:00",1,122,1,60,91.5,0,0
"2014-10-15 17:00:00",1,122,22,60,0.218,0.307,0.254,520.1,594.9,550
"2014-10-15 17:00:00",1,122,23,10,14.28
"2014-10-15 17:00:00",1,122,31,60,0,0
"2014-10-15 17:00:00",1,122,32,10,NAN
"2014-10-15 17:10:00",1,122,1,10,14.36,0,0,-4.534,0,0,0,0,0,0,0,0,0,91.8,0,0
"2014-10-15 17:10:00",1,122,4,10,12.85,16.44,128
"2014-10-15 17:10:00",1,122,23,10,19.69
"2014-10-15 17:10:00",1,122,32,10,NAN
